,아이디,주소,기업성장단계,신규인력_채용의사,구분,신규채용_예상인력,신규채용_박사,신규채용_석사,신규채용_대졸,신규채용_전문대졸,신규채용_고졸이하,지역,업종
829,10302,서울 중구,성숙기,있음,법인,30,0,3,15,12,0,서울/인천/경기,소프트웨어개발/IT기반서비스
830,10338,서울 금천구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
831,10370,충남 아산시,고도성장기,없음,개인,0,0,0,0,0,0,대전/세종/충청/강원,소프트웨어개발/IT기반서비스
832,10384,경기 안양시 동안구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
833,10398,경기 수원시 영통구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
834,10418,경기 군포시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
835,10421,서울 마포구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
836,10495,강원 원주시,초기성장기,있음,법인,1,0,0,1,0,0,대전/세종/충청/강원,의료/제약
837,10503,경기 김포시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
838,10504,경기 성남시 수정구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
839,10516,경기 성남시 중원구,초기성장기,있음,법인,1,0,0,1,0,0,서울/인천/경기,에너지/화학/정밀
840,10518,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
841,10525,서울 강남구,창업기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
842,10533,대전 유성구,고도성장기,있음,법인,2,0,0,2,0,0,대전/세종/충청/강원,통신기기/방송기기
843,10551,부산 해운대구,성숙기,있음,법인,1,0,0,1,0,0,부산/경남/울산,에너지/화학/정밀
