,아이디,주소,기업성장단계,신규인력_채용의사,구분,신규채용_예상인력,신규채용_박사,신규채용_석사,신규채용_대졸,신규채용_전문대졸,신규채용_고졸이하,지역,업종
0,1,경기 성남시 수정구,성숙기,있음,법인,3,0,0,1,2,0,서울/인천/경기,의료/제약
1,14,경기 파주시,고도성장기,있음,개인,1,0,0,1,0,0,서울/인천/경기,에너지/화학/정밀
2,22,경남 김해시,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
3,25,광주 동구,성숙기,없음,개인,0,0,0,0,0,0,광주/전라/제주,소프트웨어개발/IT기반서비스
4,36,울산 울주군,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기타
5,42,충북 음성군,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,통신기기/방송기기
6,50,대전 동구,고도성장기,없음,개인,0,0,0,0,0,0,대전/세종/충청/강원,기타
7,61,경기 화성시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
8,100,경기 성남시 분당구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
9,105,강원 삼척시,성숙기,있음,법인,2,0,0,1,1,0,대전/세종/충청/강원,기타
10,107,제주 제주시,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,에너지/화학/정밀
11,109,경기 평택시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
12,114,경기 이천시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
13,127,인천 남동구,고도성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
14,135,경기 의왕시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
15,143,경기 안산시 단원구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
16,160,서울 금천구,성숙기,있음,법인,2,0,0,2,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
17,220,전북 전주시 완산구,고도성장기,있음,법인,2,0,0,2,0,0,광주/전라/제주,정보통신/방송서비스
18,223,부산 사상구,고도성장기,있음,법인,2,0,0,1,1,0,부산/경남/울산,기타
19,231,경기 파주시,성숙기,있음,법인,4,0,0,0,0,4,서울/인천/경기,기계/자동차/금속
20,238,충북 음성군,고도성장기,있음,법인,3,0,0,0,2,1,대전/세종/충청/강원,기타
21,246,서울 중구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
22,247,서울 중구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
23,263,서울 송파구,성숙기,있음,법인,5,0,0,2,2,1,서울/인천/경기,기타
24,306,서울 서초구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
25,341,대구 북구,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,소프트웨어개발/IT기반서비스
26,352,충북 청주시 청원구,성숙기,없음,개인,0,0,0,0,0,0,대전/세종/충청/강원,통신기기/방송기기
27,353,충북 청주시 서원구,초기성장기,없음,개인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
28,354,충북 청주시 흥덕구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
29,355,충북 청주시 흥덕구,성숙기,있음,법인,2,0,0,2,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
30,364,충남 부여군,초기성장기,있음,법인,2,0,0,1,1,0,대전/세종/충청/강원,기타
31,375,대전 유성구,고도성장기,있음,법인,2,0,0,1,1,0,대전/세종/충청/강원,기타
32,414,서울 성동구,성숙기,있음,법인,1,0,0,1,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
33,417,서울 광진구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
34,423,경기 성남시 분당구,고도성장기,있음,법인,2,0,0,2,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
35,433,대구 동구,고도성장기,있음,법인,15,0,2,8,5,0,대구/경북,의료/제약
36,446,대전 유성구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,의료/제약
37,465,광주 북구,성숙기,있음,법인,2,0,0,0,1,1,광주/전라/제주,기타
38,472,전남 나주시,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,에너지/화학/정밀
39,494,강원 인제군,초기성장기,있음,법인,4,0,0,2,2,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
40,496,서울 송파구,창업기,없음,개인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
41,510,경기 과천시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
42,512,경북 안동시,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,소프트웨어개발/IT기반서비스
43,526,인천 서구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
44,531,부산 해운대구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,정보통신/방송서비스
45,543,대구 동구,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,음식료/섬유/비금속/기타제조
46,548,충북 제천시,성숙기,있음,법인,4,0,0,1,3,0,대전/세종/충청/강원,기타
47,551,대구 달서구,성숙기,없음,개인,0,0,0,0,0,0,대구/경북,의료/제약
48,578,서울 송파구,고도성장기,있음,법인,15,0,1,5,9,0,서울/인천/경기,기타
49,585,서울 강서구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
50,595,부산 사하구,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
51,599,부산 사하구,성숙기,있음,개인,6,0,0,0,2,4,부산/경남/울산,기계/자동차/금속
52,614,부산 강서구,성숙기,있음,법인,5,0,0,2,3,0,부산/경남/울산,기타
53,644,광주 북구,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기타
54,645,충남 천안시 동남구,성숙기,있음,법인,20,0,0,20,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
55,656,서울 강남구,창업기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
56,666,충남 천안시 서북구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
57,688,경기 화성시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
58,692,서울 마포구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
59,701,인천 남동구,초기성장기,있음,법인,8,0,0,5,3,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
60,735,서울 강남구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
61,736,부산 금정구,성숙기,있음,법인,3,0,0,1,2,0,부산/경남/울산,의료/제약
62,742,경기 안성시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
63,766,경기 안양시 만안구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
64,780,서울 성동구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
65,801,서울 구로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
66,802,대구 수성구,성숙기,없음,개인,0,0,0,0,0,0,대구/경북,소프트웨어개발/IT기반서비스
67,815,서울 구로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,의료/제약
68,822,전북 전주시 덕진구,초기성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,의료/제약
69,825,인천 서구,고도성장기,있음,법인,1,0,0,0,0,1,서울/인천/경기,통신기기/방송기기
70,826,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
71,835,경기 안양시 만안구,고도성장기,있음,법인,1,0,0,1,0,0,서울/인천/경기,통신기기/방송기기
72,841,경기 화성시,초기성장기,있음,개인,2,0,0,0,0,2,서울/인천/경기,컴퓨터/반도체/전자부품
73,842,서울 양천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
74,847,충북 청주시 청원구,성숙기,있음,법인,3,0,0,3,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
75,849,경기 화성시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
76,870,대전 유성구,고도성장기,있음,법인,15,0,3,5,7,0,대전/세종/충청/강원,의료/제약
77,873,경남 양산시,고도성장기,있음,개인,4,0,0,0,0,4,부산/경남/울산,컴퓨터/반도체/전자부품
78,878,경기 용인시 처인구,고도성장기,있음,법인,1,0,0,1,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
79,881,경기 시흥시,성숙기,있음,법인,3,0,0,2,0,1,서울/인천/경기,기계/자동차/금속
80,882,충북 청주시 서원구,초기성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기타
81,910,광주 북구,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,소프트웨어개발/IT기반서비스
82,938,서울 성동구,고도성장기,있음,법인,2,0,0,2,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
83,945,경기 안양시 동안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
84,955,경기 부천시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
85,956,경기 성남시 분당구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
86,957,서울 강남구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
87,961,경남 김해시,초기성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,의료/제약
88,963,서울 금천구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
89,964,경기 수원시 영통구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
90,981,서울 강남구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
91,1011,충북 청주시 청원구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,에너지/화학/정밀
92,1015,경기 안양시 동안구,성숙기,있음,법인,1,0,0,1,0,0,서울/인천/경기,기계/자동차/금속
93,1041,경기 안양시 동안구,고도성장기,있음,법인,3,0,0,1,2,0,서울/인천/경기,기타
94,1067,서울 구로구,고도성장기,있음,법인,3,0,0,3,0,0,서울/인천/경기,정보통신/방송서비스
95,1070,경기 수원시 권선구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
96,1074,서울 구로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
97,1100,서울 강서구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
98,1112,경기 안양시 동안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
99,1136,충남 천안시 서북구,성숙기,있음,법인,1,0,0,1,0,0,대전/세종/충청/강원,에너지/화학/정밀
100,1139,경기 화성시,성숙기,있음,법인,3,0,0,3,0,0,서울/인천/경기,에너지/화학/정밀
101,1189,서울 강남구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
102,1214,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
103,1232,서울 금천구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
104,1247,서울 서초구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
105,1257,서울 성동구,창업기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
106,1260,경기 화성시,고도성장기,있음,법인,1,0,0,1,0,0,서울/인천/경기,통신기기/방송기기
107,1302,서울 동대문구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
108,1308,서울 마포구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
109,1312,전남 나주시,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기타
110,1333,경기 성남시 분당구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
111,1342,경기 성남시 분당구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기타
112,1347,서울 마포구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
113,1358,서울 용산구,초기성장기,있음,법인,4,0,0,2,2,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
114,1360,전북 전주시 완산구,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,정보통신/방송서비스
115,1368,대전 유성구,초기성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
116,1393,서울 중구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
117,1395,서울 강남구,고도성장기,있음,법인,3,0,0,3,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
118,1418,경북 칠곡군,고도성장기,있음,법인,2,0,0,0,1,1,대구/경북,기타
119,1431,경기 화성시,성숙기,있음,개인,3,0,0,0,1,2,서울/인천/경기,기계/자동차/금속
120,1496,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
121,1502,서울 성동구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
122,1504,인천 미추홀구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
123,1514,대구 달서구,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,의료/제약
124,1525,부산 사하구,고도성장기,있음,법인,3,0,0,1,2,0,부산/경남/울산,의료/제약
125,1537,서울 중구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
126,1548,경남 김해시,초기성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
127,1557,경북 경산시,고도성장기,있음,법인,2,0,0,2,0,0,대구/경북,음식료/섬유/비금속/기타제조
128,1562,경기 김포시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
129,1563,광주 북구,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
130,1564,대전 유성구,고도성장기,있음,법인,2,0,0,2,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
131,1567,대구 동구,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,도소매/연구개발서비스/기타서비스
132,1618,경기 의왕시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
133,1641,경기 부천시,초기성장기,있음,법인,2,0,0,0,0,2,서울/인천/경기,기계/자동차/금속
134,1644,세종 부강면,초기성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,에너지/화학/정밀
135,1650,충남 천안시 동남구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,소프트웨어개발/IT기반서비스
136,1651,경기 오산시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
137,1656,경기 성남시 중원구,창업기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
138,1669,부산 사상구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
139,1678,대전 유성구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,의료/제약
140,1679,충남 아산시,고도성장기,있음,법인,5,0,0,2,2,1,대전/세종/충청/강원,의료/제약
141,1686,경기 수원시 권선구,성숙기,있음,법인,10,0,0,6,1,3,서울/인천/경기,컴퓨터/반도체/전자부품
142,1692,서울 강남구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
143,1721,서울 구로구,성숙기,있음,법인,3,0,0,2,1,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
144,1746,경기 안성시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
145,1748,경기 고양시 일산동구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
146,1749,서울 영등포구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
147,1753,서울 강서구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
148,1798,충남 당진시,초기성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
149,1821,인천 남동구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
150,1851,대구 중구,성숙기,있음,법인,2,0,0,1,1,0,대구/경북,소프트웨어개발/IT기반서비스
151,1852,경기 용인시 기흥구,초기성장기,있음,법인,2,0,0,2,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
152,1861,서울 강남구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
153,1865,서울 서초구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
154,1868,경기 군포시,고도성장기,있음,법인,5,0,0,5,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
155,1870,경기 안양시 만안구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
156,1871,경기 성남시 중원구,고도성장기,있음,법인,5,0,0,2,3,0,서울/인천/경기,의료/제약
157,1877,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
158,1879,경기 이천시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
159,1894,경기 하남시,초기성장기,있음,법인,1,0,0,1,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
160,1909,경기 파주시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기타
161,1913,경기 의왕시,초기성장기,있음,법인,3,0,0,1,2,0,서울/인천/경기,기타
162,1917,대전 유성구,고도성장기,있음,법인,1,0,0,1,0,0,대전/세종/충청/강원,의료/제약
163,1931,대전 서구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,소프트웨어개발/IT기반서비스
164,1946,인천 부평구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
165,1948,경기 안양시 동안구,초기성장기,있음,법인,1,0,0,1,0,0,서울/인천/경기,정보통신/방송서비스
166,1957,경기 오산시,성숙기,있음,법인,2,0,0,2,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
167,2005,부산 해운대구,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
168,2008,경기 파주시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
169,2018,부산 남구,고도성장기,없음,개인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
170,2020,광주 남구,고도성장기,있음,법인,1,0,0,1,0,0,광주/전라/제주,도소매/연구개발서비스/기타서비스
171,2035,경기 군포시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
172,2067,경기 안산시 단원구,고도성장기,있음,법인,1,0,0,0,0,1,서울/인천/경기,기계/자동차/금속
173,2078,경기 수원시 영통구,고도성장기,있음,법인,12,0,4,8,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
174,2094,서울 금천구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
175,2105,경기 수원시 영통구,고도성장기,있음,법인,5,0,1,3,1,0,서울/인천/경기,의료/제약
176,2109,경기 수원시 권선구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,의료/제약
177,2119,경기 수원시 영통구,고도성장기,있음,법인,7,0,0,4,0,3,서울/인천/경기,음식료/섬유/비금속/기타제조
178,2170,충북 제천시,창업기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
179,2206,서울 영등포구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
180,2210,경남 사천시,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,에너지/화학/정밀
181,2216,경기 성남시 분당구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
182,2222,경기 오산시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
183,2230,서울 마포구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
184,2242,경기 성남시 분당구,성숙기,있음,법인,10,0,0,10,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
185,2243,대구 달서구,쇠퇴기,없음,개인,0,0,0,0,0,0,대구/경북,정보통신/방송서비스
186,2259,경기 성남시 분당구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
187,2265,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
188,2267,경기 파주시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,의료/제약
189,2274,인천 연수구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
190,2277,경기 성남시 분당구,초기성장기,있음,법인,6,0,0,6,0,0,서울/인천/경기,정보통신/방송서비스
191,2283,경기 안양시 동안구,고도성장기,있음,법인,5,0,1,2,2,0,서울/인천/경기,의료/제약
192,2284,울산 울주군,성숙기,있음,법인,2,0,0,1,0,1,부산/경남/울산,기계/자동차/금속
193,2285,서울 구로구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
194,2291,광주 북구,초기성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,에너지/화학/정밀
195,2331,인천 남동구,고도성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
196,2355,경기 고양시 일산동구,초기성장기,있음,법인,2,0,0,2,0,0,서울/인천/경기,정보통신/방송서비스
197,2386,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
198,2420,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
199,2434,부산 사하구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
200,2436,경기 화성시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
201,2437,대전 유성구,고도성장기,있음,법인,1,0,0,1,0,0,대전/세종/충청/강원,정보통신/방송서비스
202,2440,충북 음성군,성숙기,있음,법인,9,0,0,1,3,5,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
203,2463,광주 북구,성숙기,있음,법인,5,0,0,2,3,0,광주/전라/제주,의료/제약
204,2464,서울 강남구,초기성장기,있음,법인,2,0,0,2,0,0,서울/인천/경기,정보통신/방송서비스
205,2468,경기 화성시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
206,2496,서울 서초구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
207,2497,경북 경주시,쇠퇴기,없음,개인,0,0,0,0,0,0,대구/경북,기계/자동차/금속
208,2508,경북 칠곡군,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,기타
209,2510,경기 광명시,고도성장기,있음,법인,3,0,0,1,2,0,서울/인천/경기,의료/제약
210,2517,울산 울주군,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
211,2521,서울 서초구,성숙기,있음,법인,1,0,0,1,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
212,2524,경남 창원시 의창구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,소프트웨어개발/IT기반서비스
213,2525,서울 금천구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
214,2570,서울 관악구,창업기,있음,법인,2,0,0,2,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
215,2573,충북 옥천군,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
216,2594,부산 남구,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,소프트웨어개발/IT기반서비스
217,2599,서울 금천구,고도성장기,있음,법인,40,0,10,20,10,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
218,2602,전북 완주군,고도성장기,있음,법인,2,0,0,1,1,0,광주/전라/제주,소프트웨어개발/IT기반서비스
219,2606,경기 양주시,초기성장기,있음,법인,2,0,0,0,2,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
220,2611,서울 구로구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
221,2621,서울 영등포구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
222,2643,경기 군포시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
223,2657,경기 성남시 중원구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
224,2675,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
225,2685,경북 구미시,초기성장기,없음,법인,0,0,0,0,0,0,대구/경북,기계/자동차/금속
226,2707,경기 안양시 동안구,창업기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
227,2739,서울 영등포구,고도성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
228,2752,서울 강남구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
229,2755,경기 성남시 중원구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
230,2758,경기 용인시 기흥구,초기성장기,있음,개인,2,0,0,0,1,1,서울/인천/경기,음식료/섬유/비금속/기타제조
231,2807,서울 성북구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
232,2831,서울 구로구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
233,2832,경기 안양시 만안구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
234,2835,서울 광진구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
235,2839,서울 서초구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
236,2842,경기 고양시 일산동구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
237,2845,대전 유성구,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,소프트웨어개발/IT기반서비스
238,2855,대구 북구,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,음식료/섬유/비금속/기타제조
